URL,Version,Status,OIDs,Name,Title,Description,Used
http://id.who.int/icd/release/11/mms,0.1.0,draft,,ICD11,ICD-11,"ICD-11.",
http://smart.who.int/example-workshop/CodeSystem/IMMZConcepts,0.1.0,draft,,IMMZConcepts,Immunizations Concepts CodeSystem,"This code system defines concepts used in SMART Immunizations",
http://smart.who.int/example-workshop/CodeSystem/VaccineProducts,0.1.0,draft,,VaccineProducts,Vaccine Product codes CodeSet,"Vaccine Product codes, containing the different available products.",
